,Country,M49_Code,Total_FDI_Inflows_2016,Total_FDI_Inflows_2017,Total_FDI_Inflows_2018,Total_FDI_Inflows_2019,Total_FDI_Inflows_2020,Total_FDI_Outflows_2016,Total_FDI_Outflows_2017,Total_FDI_Outflows_2018,Total_FDI_Outflows_2019,Total_FDI_Outflows_2020,Net_FDI_2016,Net_FDI_2017,Net_FDI_2018,Net_FDI_2019,Net_FDI_2020
121,Morocco,504,2157.149441,2686.029715,3558.878862,1719.961452,1763.111483,579.659607,1020.945109,782.081848,892.994919,491.742154,1577.489834,1665.0846060000001,2776.7970139999998,826.966533,1271.3693289999999
122,Mozambique,508,3093.4,2293.1,2703.031294,2211.654426,2337.297117,34.7,26.0,-25.30488,-30.88619,153.380151,3058.7000000000003,2267.1,2728.336174,2242.540616,2183.9169660000002
123,Myanmar,104,2989.0,4341.0,3554.048,2766.0,1834.212,,,,,,,,,,
124,Namibia,516,355.590232,279.946036,208.556758,-178.925671,-74.6114,-4.758974,-65.63855,98.484326,9.141283,50.144684,360.34920600000004,345.584586,110.072432,-188.06695399999998,-124.756084
125,Nepal,524,106.133571,197.775964,67.055675,184.995134,126.492576,,,,,,,,,,
126,Netherlands,528,59734.12145,16557.652986,87670.589013,48962.710752,-115300.251146,185164.153993,19091.515008,-45379.393745,84866.507563,-161050.937036,-125430.03254300001,-2533.8620219999975,133049.982758,-35903.79681100001,45750.68588999999
127,New Caledonia,540,414.176023,410.145856,249.817258,661.760629,442.822278,79.763043,78.517071,96.074273,83.188748,85.534155,334.41298,331.628785,153.742985,578.571881,357.288123
128,New Zealand,554,2844.354103,2428.574474,2397.49581,4278.349666,4216.443221,195.610255,227.368002,426.221477,-171.950918,879.992841,2648.743848,2201.206472,1971.2743329999998,4450.3005840000005,3336.45038
129,Nicaragua,558,989.1,1035.4,837.6,503.0,182.3,65.3,64.5,75.1,59.1,39.5,923.8000000000001,970.9000000000001,762.5,443.9,142.8
130,Niger,562,301.332478,338.71071,466.042273,717.14764,366.793709,40.212241,29.088786,38.617404,32.02756,27.125743,261.120237,309.62192400000004,427.424869,685.12008,339.667966
131,Nigeria,566,3453.258408,2412.974916,775.2474,2305.099812,2385.277666,335.464994,310.830719,565.569112,285.318846,-337.869298,3117.793414,2102.144197,209.67828799999995,2019.7809659999998,2723.146964
132,North Macedonia,807,374.604282,205.262028,725.20283,446.402152,273.927194,23.854907,1.980321,12.248899,39.720333,39.024231,350.749375,203.28170699999998,712.9539309999999,406.681819,234.902963
133,Norway,578,-3899.880952,-5849.000262,225.760836,16287.386364,-2394.371268,3091.904762,-2220.470594,11408.177067,5560.340909,-1063.315375,-6991.785714,-3628.5296679999997,-11182.416231000001,10727.045455,-1331.055893
134,Oman,512,2265.279584,2918.075423,5940.182055,3420.026008,4092.761162,356.306892,2423.927178,715.214564,626.788036,1255.309926,1908.9726919999998,494.14824499999986,5224.967491,2793.237972,2837.451236
135,Pakistan,586,2576.0,2496.0,1737.0,2234.0,2105.0,52.0,52.0,-21.0,-85.0,34.0,2524.0,2444.0,1758.0,2319.0,2071.0
136,Palau,585,36.008019,27.484633,21.5,22.0,24.0,,,1.2,,,,,20.3,,
137,Palestine,275,296.7,188.344526,251.628395,131.879984,52.0,44.777319,2.851664,30.881186,56.476884,61.0,251.92268099999998,185.492862,220.747209,75.40310000000001,-9.0
138,Panama,591,4745.4,4176.645,5080.392578,4320.375729,588.653819,-188.195315,137.841,-163.0894,-634.354694,38.60972,4933.595315,4038.8040000000005,5243.481978,4954.730423,550.044099
139,Papua New Guinea,598,-39.764921,-180.17671,-341.200432,-900.655579,-935.493565,-0.031918,-0.03136,305.663464,335.176757,114.157539,-39.733003000000004,-180.14535,-646.863896,-1235.832336,-1049.651104
140,Paraguay,600,425.334759,576.181374,457.636953,522.336212,568.333465,,,,,,,,,,
141,Peru,604,6739.051858,6860.492819,6967.475789,8055.416499,981.749851,1155.961998,500.069431,136.190197,940.665528,503.477474,5583.08986,6360.423388,6831.285592,7114.7509709999995,478.27237700000006
142,Philippines,608,6915.149,8703.550653,6602.459617,8671.365874,6542.261712,1032.334,1751.839754,769.559033,3350.936705,3525.188483,5882.8150000000005,6951.710899,5832.900584000001,5320.429168999999,3017.0732290000005
